model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-4b-it,positive_money,0,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 4.966399046679726e-06), ('volunteer', 0.9999949932098389)]","[('volunteer', 0.9999949932098389), ('wait', 4.966399046679726e-06), ('vol', 1.8000333668055646e-08), ('neither', 3.6316863405438937e-10), (' volunteer', 3.370736190166923e-10)]",False,
google/gemma-3-4b-it,neutral_money,0,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 1.195767163153505e-05), ('volunteer', 0.9999880790710449)]","[('volunteer', 0.9999880790710449), ('wait', 1.195767163153505e-05), ('vol', 8.859807110184192e-09), ('neither', 1.6190458973497357e-09), ('either', 6.555075371394992e-10)]",False,
google/gemma-3-4b-it,negative_money,0,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 0.00011249864473938942), ('volunteer', 0.9998874664306641)]","[('volunteer', 0.9998874664306641), ('wait', 0.00011249864473938942), ('vol', 1.3280152089123476e-08), ('neither', 1.9046746402295867e-09), ('either', 8.967184217389956e-10)]",False,
google/gemma-3-4b-it,none,0,"Answer with one word only: volunteer or wait

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 0.0004133769834879786), ('volunteer', 0.9995866417884827)]","[('volunteer', 0.9995866417884827), ('wait', 0.0004133769834879786), ('vol', 1.0840870423578508e-08), ('neither', 4.0508680854145496e-09), ('it', 6.788492545872771e-10)]",False,
google/gemma-3-4b-it,positive_money,1,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 3.020460326297325e-06), ('volunteer', 0.9999970197677612)]","[('volunteer', 0.9999970197677612), ('wait', 3.020460326297325e-06), ('vol', 9.10434483358813e-09), (' volunteer', 2.1850582454518985e-10), ('either', 1.2535103510735723e-10)]",False,
google/gemma-3-4b-it,neutral_money,1,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 4.3455602281028405e-06), ('volunteer', 0.9999957084655762)]","[('volunteer', 0.9999957084655762), ('wait', 4.3455602281028405e-06), ('vol', 1.5958619314915268e-08), (' volunteer', 7.830835979660833e-10), ('either', 6.422920528770248e-10)]",False,
google/gemma-3-4b-it,negative_money,1,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 2.197695357608609e-05), ('volunteer', 0.9999780654907227)]","[('volunteer', 0.9999780654907227), ('wait', 2.197695357608609e-05), ('vol', 2.673487742299585e-08), (' volunteer', 1.7579362410202748e-09), ('either', 1.1068443939166173e-09)]",False,
google/gemma-3-4b-it,none,1,"Answer with one word only: volunteer or wait

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 2.3115147996577434e-05), ('volunteer', 0.9999768733978271)]","[('volunteer', 0.9999768733978271), ('wait', 2.3115147996577434e-05), ('vol', 1.7122870232810783e-08), ('either', 1.876651500865023e-09), ('both', 1.348387068667023e-09)]",False,
google/gemma-3-4b-it,positive_money,2,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 2.8496092454588506e-06), ('volunteer', 0.9999971389770508)]","[('volunteer', 0.9999971389770508), ('wait', 2.8496092454588506e-06), ('vol', 2.0217212348683233e-09), (' volunteer', 6.698893523227056e-11), ('either', 1.8713471744424837e-11)]",False,
google/gemma-3-4b-it,neutral_money,2,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 7.547763516413397e-07), ('volunteer', 0.9999992847442627)]","[('volunteer', 0.9999992847442627), ('wait', 7.547763516413397e-07), ('vol', 2.4901345430095034e-09), (' volunteer', 1.0385371729260129e-10), ('either', 3.3411003130812134e-11)]",False,
